PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived,AgeGroup,FareCategory,SocialStatus,Child,FarePerPerson,FamilyType
46,3,male,18.0,1,1,28.04,C,3,0,0,Teen,Medium,Lower,0,9.346666666666666,Small Family
47,2,male,45.0,0,0,111.9,S,1,1,0,Adult,High,Middle,0,111.9,Single
48,3,male,40.0,0,0,24.18,S,1,1,0,Adult,Low,Lower,0,24.18,Single
49,3,female,43.0,3,0,12.25,S,4,0,1,Adult,Low,Lower,0,3.0625,Small Family
50,1,male,30.0,1,3,243.31125,S,5,0,1,Young Adult,Very High,Upper,0,48.66225,Large Family
51,3,female,12.0,1,0,6.64,S,2,0,1,Child,Low,Lower,1,3.32,Small Family
52,3,male,43.0,0,0,29.2,S,1,1,0,Adult,Medium,Lower,0,29.2,Single
53,3,female,26.0,1,1,58.92,S,3,0,1,Young Adult,Medium,Lower,0,19.64,Small Family
54,3,female,12.0,0,0,41.28,S,1,1,1,Child,Medium,Lower,1,41.28,Single
55,3,male,48.0,0,0,24.55,S,1,1,0,Adult,Low,Lower,0,24.55,Single
56,3,male,57.0,1,0,13.04,Q,2,0,0,Adult,Low,Lower,0,6.52,Small Family
57,1,male,29.0,0,0,243.31125,S,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
58,1,female,58.0,1,1,213.07,S,3,0,1,Adult,Very High,Upper,0,71.02333333333333,Small Family
59,1,male,31.0,0,0,194.81,C,1,1,1,Young Adult,Very High,Upper,0,194.81,Single
60,2,female,25.0,0,0,63.55,S,1,1,1,Young Adult,Medium,Middle,0,63.55,Single
61,2,male,22.0,0,0,114.86,S,1,1,1,Young Adult,High,Middle,0,114.86,Single
62,2,male,51.0,0,0,60.03,S,1,1,1,Adult,Medium,Middle,0,60.03,Single
63,3,male,20.0,0,2,59.94,S,3,0,0,Young Adult,Medium,Lower,0,19.98,Small Family
64,2,female,40.0,1,2,79.47,S,4,0,1,Adult,Medium,Middle,0,19.8675,Small Family
65,2,male,23.0,1,0,44.04,S,2,0,0,Young Adult,Medium,Middle,0,22.02,Small Family
66,3,female,24.0,0,0,53.09,Q,1,1,0,Young Adult,Medium,Lower,0,53.09,Single
67,1,male,43.0,0,0,243.31125,S,1,1,0,Adult,Very High,Upper,0,243.31125,Single
68,3,female,25.0,1,0,46.22,C,2,0,1,Young Adult,Medium,Lower,0,23.11,Small Family
69,1,male,25.0,1,0,243.31125,S,2,0,1,Young Adult,Very High,Upper,0,121.655625,Small Family
70,3,female,45.0,1,1,7.11,S,3,0,0,Adult,Low,Lower,0,2.37,Small Family
71,3,male,51.0,1,0,16.72,S,2,0,0,Adult,Low,Lower,0,8.36,Small Family
72,1,male,38.0,0,0,243.31125,S,1,1,1,Adult,Very High,Upper,0,243.31125,Single
73,1,male,21.0,0,0,243.31125,C,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
74,3,female,23.0,0,0,5.85,S,1,1,0,Young Adult,Low,Lower,0,5.85,Single
75,3,male,31.0,0,1,28.16,S,2,0,0,Young Adult,Medium,Lower,0,14.08,Small Family
76,3,male,34.0,1,0,14.83,S,2,0,0,Young Adult,Low,Lower,0,7.415,Small Family
77,3,male,17.0,0,0,52.06,S,1,1,0,Teen,Medium,Lower,0,52.06,Single
78,1,female,39.0,3,0,243.31125,C,4,0,1,Adult,Very High,Upper,0,60.8278125,Small Family
79,2,male,31.0,2,2,79.96,C,5,0,1,Young Adult,Medium,Middle,0,15.991999999999999,Large Family
80,1,male,8.0,2,0,148.4,C,3,0,1,Child,High,Upper,1,49.46666666666667,Small Family
81,3,female,18.0,2,1,19.07,S,4,0,1,Teen,Low,Lower,0,4.7675,Small Family
82,3,female,23.0,0,0,31.12,S,1,1,0,Young Adult,Medium,Lower,0,31.12,Single
83,2,male,29.0,2,2,47.44,S,5,0,1,Young Adult,Medium,Middle,0,9.488,Large Family
84,1,female,55.0,0,1,148.7,S,2,0,1,Adult,High,Upper,0,74.35,Small Family
85,2,female,33.0,0,0,99.44,S,1,1,1,Young Adult,High,Middle,0,99.44,Single
86,2,male,19.0,1,1,65.04,Q,3,0,0,Teen,Medium,Middle,0,21.680000000000003,Small Family
87,3,male,33.0,0,1,45.85,Q,2,0,0,Young Adult,Medium,Lower,0,22.925,Small Family
88,3,female,25.0,4,0,35.74,Q,5,0,1,Young Adult,Medium,Lower,0,7.148000000000001,Large Family
89,3,male,34.0,1,0,16.79,S,2,0,0,Young Adult,Low,Lower,0,8.395,Small Family
90,2,female,38.0,1,0,82.8,S,2,0,1,Adult,High,Middle,0,41.4,Small Family
91,1,female,46.0,0,0,137.48,C,1,1,1,Adult,High,Upper,0,137.48,Single
92,3,female,30.0,1,1,31.16,C,3,0,1,Young Adult,Medium,Lower,0,10.386666666666667,Small Family
93,3,male,51.0,0,1,30.34,C,2,0,0,Adult,Medium,Lower,0,15.17,Small Family
94,3,female,42.0,2,0,11.1,S,3,0,1,Adult,Low,Lower,0,3.6999999999999997,Small Family
95,3,female,21.0,0,1,15.06,C,2,0,1,Young Adult,Low,Lower,0,7.53,Small Family
96,2,male,59.0,1,0,81.85,S,2,0,0,Adult,High,Middle,0,40.925,Small Family
97,3,male,34.0,0,0,18.34,S,1,1,0,Young Adult,Low,Lower,0,18.34,Single
98,2,female,19.0,0,2,84.45,C,3,0,1,Teen,High,Middle,0,28.150000000000002,Small Family
99,1,male,51.0,0,0,139.7,S,1,1,1,Adult,High,Upper,0,139.7,Single
100,1,female,57.0,0,0,243.31125,S,1,1,1,Adult,Very High,Upper,0,243.31125,Single
101,1,male,30.0,1,1,173.78,S,3,0,1,Young Adult,Very High,Upper,0,57.92666666666667,Small Family
102,3,male,23.0,0,0,50.02,S,1,1,0,Young Adult,Medium,Lower,0,50.02,Single
103,2,male,28.0,0,0,88.13,S,1,1,0,Young Adult,High,Middle,0,88.13,Single
104,3,female,39.0,0,0,21.78,S,1,1,1,Adult,Low,Lower,0,21.78,Single
105,3,female,47.0,0,0,51.42,S,1,1,1,Adult,Medium,Lower,0,51.42,Single
106,1,female,37.0,0,2,243.31125,S,3,0,1,Adult,Very High,Upper,0,81.10375,Small Family
107,2,female,31.0,1,0,54.67,C,2,0,1,Young Adult,Medium,Middle,0,27.335,Small Family
108,3,female,49.0,0,0,44.25,S,1,1,1,Adult,Medium,Lower,0,44.25,Single
109,1,male,26.0,0,0,243.31125,C,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
110,1,male,43.0,0,0,243.31125,S,1,1,0,Adult,Very High,Upper,0,243.31125,Single
111,2,male,26.0,0,0,75.19,S,1,1,0,Young Adult,Medium,Middle,0,75.19,Single
112,1,male,36.0,0,0,243.31125,S,1,1,1,Adult,Very High,Upper,0,243.31125,Single
113,3,male,29.0,0,0,56.18,S,1,1,0,Young Adult,Medium,Lower,0,56.18,Single
114,3,male,29.0,1,0,22.64,C,2,0,0,Young Adult,Low,Lower,0,11.32,Small Family
115,3,female,25.0,0,0,34.72,S,1,1,1,Young Adult,Medium,Lower,0,34.72,Single
116,3,male,47.0,0,1,30.3,Q,2,0,0,Adult,Medium,Lower,0,15.15,Small Family
117,3,male,20.0,0,2,48.07,S,3,0,0,Young Adult,Medium,Lower,0,16.023333333333333,Small Family
118,1,male,20.0,1,2,168.89,Q,4,0,1,Young Adult,Very High,Upper,0,42.2225,Small Family
119,3,male,58.0,3,0,39.49,S,4,0,0,Adult,Medium,Lower,0,9.8725,Small Family
120,3,female,43.0,0,0,46.84,S,1,1,0,Adult,Medium,Lower,0,46.84,Single
121,3,female,1.0,4,1,30.97,S,6,0,1,Child,Medium,Lower,1,5.161666666666666,Large Family
122,3,male,23.0,0,0,10.79,S,1,1,0,Young Adult,Low,Lower,0,10.79,Single
123,2,female,6.0,0,0,58.45,S,1,1,1,Child,Medium,Middle,1,58.45,Single
124,1,male,18.0,0,1,195.54,S,2,0,1,Teen,Very High,Upper,0,97.77,Small Family
125,1,male,1.0,0,1,119.16,S,2,0,1,Child,High,Upper,1,59.58,Small Family
126,2,male,28.0,0,2,41.71,C,3,0,1,Young Adult,Medium,Middle,0,13.903333333333334,Small Family
127,3,male,15.0,0,1,35.82,C,2,0,0,Teen,Medium,Lower,1,17.91,Small Family
128,3,female,31.0,0,1,17.56,S,2,0,0,Young Adult,Low,Lower,0,8.78,Small Family
129,1,female,9.0,0,0,195.37,S,1,1,1,Child,Very High,Upper,1,195.37,Single
130,3,male,31.0,0,2,23.52,S,3,0,0,Young Adult,Low,Lower,0,7.84,Small Family
131,2,male,25.0,0,0,77.22,C,1,1,1,Young Adult,Medium,Middle,0,77.22,Single
132,1,male,50.0,2,2,243.31125,S,5,0,1,Adult,Very High,Upper,0,48.66225,Large Family
133,1,female,48.0,0,0,197.07,S,1,1,1,Adult,Very High,Upper,0,197.07,Single
134,2,female,40.0,1,0,116.62,S,2,0,1,Adult,High,Middle,0,58.31,Small Family
135,3,male,26.0,1,1,36.77,S,3,0,0,Young Adult,Medium,Lower,0,12.256666666666668,Small Family
136,2,female,56.0,0,0,43.71,S,1,1,1,Adult,Medium,Middle,0,43.71,Single
137,3,male,10.0,0,1,18.58,S,2,0,0,Child,Low,Lower,1,9.29,Small Family
138,3,female,12.0,0,0,14.47,S,1,1,1,Child,Low,Lower,1,14.47,Single
139,2,male,29.0,0,2,60.35,S,3,0,0,Young Adult,Medium,Middle,0,20.116666666666667,Small Family
140,3,male,59.0,0,1,42.33,S,2,0,0,Adult,Medium,Lower,0,21.165,Small Family
141,3,male,27.0,0,0,32.47,S,1,1,0,Young Adult,Medium,Lower,0,32.47,Single
142,2,female,28.0,0,0,68.59,S,1,1,1,Young Adult,Medium,Middle,0,68.59,Single
143,2,male,11.0,2,0,85.39,S,3,0,1,Child,High,Middle,1,28.463333333333335,Small Family
144,2,male,42.0,0,1,82.79,S,2,0,0,Adult,High,Middle,0,41.395,Small Family
145,2,male,42.0,1,0,72.1,S,2,0,1,Adult,Medium,Middle,0,36.05,Small Family
146,1,male,40.0,0,0,243.31125,S,1,1,1,Adult,Very High,Upper,0,243.31125,Single
147,3,male,22.0,2,0,59.62,S,3,0,0,Young Adult,Medium,Lower,0,19.87333333333333,Small Family
148,3,male,21.0,0,0,26.3,C,1,1,0,Young Adult,Medium,Lower,0,26.3,Single
149,1,male,13.0,0,0,243.31125,S,1,1,1,Teen,Very High,Upper,1,243.31125,Single
150,2,female,31.0,3,0,49.05,S,4,0,0,Young Adult,Medium,Middle,0,12.2625,Small Family
151,3,female,16.0,1,0,16.23,S,2,0,1,Teen,Low,Lower,0,8.115,Small Family
152,1,female,15.0,0,1,170.83,S,2,0,1,Teen,Very High,Upper,1,85.415,Small Family
153,1,male,24.0,0,0,106.83,Q,1,1,1,Young Adult,High,Upper,0,106.83,Single
154,2,male,24.0,1,2,72.86,C,4,0,0,Young Adult,Medium,Middle,0,18.215,Small Family
155,3,male,23.0,2,0,58.04,S,3,0,0,Young Adult,Medium,Lower,0,19.346666666666668,Small Family
156,1,female,36.0,0,0,106.86,S,1,1,1,Adult,High,Upper,0,106.86,Single
157,3,female,31.0,0,0,18.61,C,1,1,1,Young Adult,Low,Lower,0,18.61,Single
158,3,male,26.0,1,0,38.96,C,2,0,0,Young Adult,Medium,Lower,0,19.48,Small Family
159,1,male,32.0,0,0,243.31125,S,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
160,3,female,17.0,1,1,8.97,S,3,0,0,Teen,Low,Lower,0,2.99,Small Family
161,2,male,31.0,0,0,65.03,C,1,1,0,Young Adult,Medium,Middle,0,65.03,Single
162,3,female,32.0,3,1,28.36,C,5,0,1,Young Adult,Medium,Lower,0,5.672,Large Family
163,3,female,10.0,1,0,33.5,S,2,0,1,Child,Medium,Lower,1,16.75,Small Family
164,3,male,43.0,1,0,14.72,S,2,0,0,Adult,Low,Lower,0,7.36,Small Family
165,1,female,19.0,0,0,243.31125,S,1,1,1,Teen,Very High,Upper,0,243.31125,Single
166,3,male,31.0,0,2,25.23,S,3,0,0,Young Adult,Medium,Lower,0,8.41,Small Family
167,2,female,45.0,0,0,111.77,S,1,1,1,Adult,High,Middle,0,111.77,Single
168,1,female,42.0,1,1,123.97,S,3,0,1,Adult,High,Upper,0,41.32333333333333,Small Family
169,1,female,30.0,1,0,195.34,C,2,0,1,Young Adult,Very High,Upper,0,97.67,Small Family
170,3,male,25.0,0,0,48.04,S,1,1,0,Young Adult,Medium,Lower,0,48.04,Single
171,3,male,42.0,1,0,11.35,S,2,0,0,Adult,Low,Lower,0,5.675,Small Family
172,1,male,39.0,1,1,179.94,C,3,0,1,Adult,Very High,Upper,0,59.98,Small Family
173,3,female,22.0,0,1,13.74,S,2,0,1,Young Adult,Low,Lower,0,6.87,Small Family
174,1,female,20.0,0,0,243.31125,C,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
175,3,male,3.0,1,1,46.76,C,3,0,0,Child,Medium,Lower,1,15.586666666666666,Small Family
176,1,male,32.0,0,0,197.03,S,1,1,0,Young Adult,Very High,Upper,0,197.03,Single
177,3,male,29.0,1,2,6.7,S,4,0,0,Young Adult,Low,Lower,0,1.675,Small Family
178,2,female,45.0,0,1,84.19,C,2,0,1,Adult,High,Middle,0,42.095,Small Family
179,3,male,35.0,4,1,52.04,S,6,0,0,Young Adult,Medium,Lower,0,8.673333333333334,Large Family
180,1,male,47.0,0,1,243.31125,S,2,0,1,Adult,Very High,Upper,0,121.655625,Small Family
181,2,male,21.0,0,0,109.17,C,1,1,1,Young Adult,High,Middle,0,109.17,Single
182,1,male,45.0,0,0,133.27,S,1,1,1,Adult,High,Upper,0,133.27,Single
183,3,female,23.0,0,0,46.66,S,1,1,1,Young Adult,Medium,Lower,0,46.66,Single
184,3,male,40.0,0,0,19.07,S,1,1,0,Adult,Low,Lower,0,19.07,Single
185,2,male,11.0,0,0,47.64,S,1,1,1,Child,Medium,Middle,1,47.64,Single
186,3,male,33.0,3,0,22.3,S,4,0,0,Young Adult,Low,Lower,0,5.575,Small Family
187,3,male,4.0,3,0,17.41,S,4,0,0,Child,Low,Lower,1,4.3525,Small Family
188,3,female,27.0,0,0,58.33,S,1,1,1,Young Adult,Medium,Lower,0,58.33,Single
189,3,male,36.0,1,0,55.19,S,2,0,0,Adult,Medium,Lower,0,27.595,Small Family
190,1,female,23.0,0,0,243.31125,C,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
191,1,female,16.0,1,1,105.42,S,3,0,1,Teen,High,Upper,0,35.14,Small Family
192,3,male,41.0,1,0,45.03,S,2,0,0,Adult,Medium,Lower,0,22.515,Small Family
193,3,male,29.0,0,1,19.06,S,2,0,0,Young Adult,Low,Lower,0,9.53,Small Family
194,3,male,24.0,1,0,14.27,C,2,0,0,Young Adult,Low,Lower,0,7.135,Small Family
195,2,female,31.0,1,0,46.93,S,2,0,1,Young Adult,Medium,Middle,0,23.465,Small Family
196,2,male,62.375,0,0,104.14,S,1,1,1,Senior,High,Middle,0,104.14,Single
197,3,male,45.0,2,0,10.36,Q,3,0,0,Adult,Low,Lower,0,3.453333333333333,Small Family
198,3,female,45.0,2,0,36.45,C,3,0,1,Adult,Medium,Lower,0,12.15,Small Family
199,3,male,36.0,0,0,5.84,S,1,1,0,Adult,Low,Lower,0,5.84,Single
200,3,female,32.0,1,0,54.05,C,2,0,1,Young Adult,Medium,Lower,0,27.025,Small Family
201,3,female,1.0,4,0,55.64,Q,5,0,1,Child,Medium,Lower,1,11.128,Large Family
202,1,male,21.0,0,1,243.31125,C,2,0,1,Young Adult,Very High,Upper,0,121.655625,Small Family
203,1,male,24.0,0,0,107.79,S,1,1,1,Young Adult,High,Upper,0,107.79,Single
204,3,male,6.0,0,0,19.02,S,1,1,0,Child,Low,Lower,1,19.02,Single
205,3,male,15.0,2,0,45.93,S,3,0,0,Teen,Medium,Lower,1,15.31,Small Family
206,1,female,4.0,1,0,162.35,S,2,0,1,Child,Very High,Upper,1,81.175,Small Family
207,1,male,30.0,0,2,243.31125,S,3,0,1,Young Adult,Very High,Upper,0,81.10375,Small Family
208,3,male,41.0,4,0,30.62,S,5,0,0,Adult,Medium,Lower,0,6.1240000000000006,Large Family
209,1,male,44.0,1,0,243.31125,S,2,0,0,Adult,Very High,Upper,0,121.655625,Small Family
210,1,female,35.0,2,0,181.12,S,3,0,1,Young Adult,Very High,Upper,0,60.373333333333335,Small Family
211,3,male,17.0,0,0,27.32,S,1,1,0,Teen,Medium,Lower,0,27.32,Single
212,3,female,5.0,0,0,57.35,S,1,1,1,Child,Medium,Lower,1,57.35,Single
213,3,female,7.0,1,2,19.23,S,4,0,1,Child,Low,Lower,1,4.8075,Small Family
214,1,male,14.0,0,0,138.95,S,1,1,1,Teen,High,Upper,1,138.95,Single
215,3,male,18.0,1,0,57.33,Q,2,0,0,Teen,Medium,Lower,0,28.665,Small Family
216,1,male,28.0,1,0,124.96,C,2,0,1,Young Adult,High,Upper,0,62.48,Small Family
217,2,male,17.0,0,0,115.86,S,1,1,1,Teen,High,Middle,0,115.86,Single
218,3,male,34.0,2,0,8.23,S,3,0,0,Young Adult,Low,Lower,0,2.7433333333333336,Small Family
219,3,female,27.0,0,0,57.42,S,1,1,0,Young Adult,Medium,Lower,0,57.42,Single
220,3,female,30.0,0,0,15.31,S,1,1,1,Young Adult,Low,Lower,0,15.31,Single
221,3,female,45.0,0,0,58.9,S,1,1,0,Adult,Medium,Lower,0,58.9,Single
222,3,male,15.0,0,0,14.66,S,1,1,0,Teen,Low,Lower,1,14.66,Single
223,1,female,35.0,0,0,243.31125,S,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
224,2,female,30.0,1,0,100.08,S,2,0,1,Young Adult,High,Middle,0,50.04,Small Family
225,2,male,26.0,1,0,97.36,S,2,0,0,Young Adult,High,Middle,0,48.68,Small Family
226,1,female,42.0,0,0,243.31125,C,1,1,1,Adult,Very High,Upper,0,243.31125,Single
227,3,male,41.0,1,0,58.09,C,2,0,0,Adult,Medium,Lower,0,29.045,Small Family
228,2,male,18.0,0,2,105.23,S,3,0,1,Teen,High,Middle,0,35.07666666666667,Small Family
229,3,female,28.0,0,1,40.93,C,2,0,1,Young Adult,Medium,Lower,0,20.465,Small Family
230,3,male,34.0,1,3,12.56,Q,5,0,0,Young Adult,Low,Lower,0,2.512,Large Family
231,3,male,26.0,1,2,50.34,C,4,0,0,Young Adult,Medium,Lower,0,12.585,Small Family
232,3,male,38.0,1,1,34.84,C,3,0,0,Adult,Medium,Lower,0,11.613333333333335,Small Family
233,3,male,34.0,0,2,58.87,Q,3,0,0,Young Adult,Medium,Lower,0,19.62333333333333,Small Family
234,2,male,54.0,1,1,47.47,S,3,0,1,Adult,Medium,Middle,0,15.823333333333332,Small Family
235,1,male,10.0,1,1,243.31125,S,3,0,1,Child,Very High,Upper,1,81.10375,Small Family
236,3,female,28.0,3,0,24.03,Q,4,0,1,Young Adult,Low,Lower,0,6.0075,Small Family
237,2,male,18.0,0,0,110.19,S,1,1,0,Teen,High,Middle,0,110.19,Single
238,1,male,38.0,0,1,126.22,C,2,0,1,Adult,High,Upper,0,63.11,Small Family
239,3,female,9.0,1,0,47.81,C,2,0,1,Child,Medium,Lower,1,23.905,Small Family
240,1,female,35.0,4,1,135.68,S,6,0,1,Young Adult,High,Upper,0,22.613333333333333,Large Family
241,3,male,22.0,0,0,36.92,S,1,1,0,Young Adult,Medium,Lower,0,36.92,Single
242,3,male,20.0,0,0,56.27,S,1,1,0,Young Adult,Medium,Lower,0,56.27,Single
243,3,male,11.0,0,1,10.93,S,2,0,0,Child,Low,Lower,1,5.465,Small Family
244,2,male,24.0,0,2,68.67,S,3,0,0,Young Adult,Medium,Middle,0,22.89,Small Family
245,1,male,44.0,0,0,232.74,S,1,1,1,Adult,Very High,Upper,0,232.74,Single
246,3,male,30.0,0,1,22.34,S,2,0,0,Young Adult,Low,Lower,0,11.17,Small Family
247,2,male,38.0,0,1,57.93,S,2,0,0,Adult,Medium,Middle,0,28.965,Small Family
248,3,male,52.0,0,0,35.0,S,1,1,0,Adult,Medium,Lower,0,35.0,Single
249,3,male,33.0,0,0,59.23,C,1,1,0,Young Adult,Medium,Lower,0,59.23,Single
250,3,male,23.0,0,0,53.9,C,1,1,0,Young Adult,Medium,Lower,0,53.9,Single
251,2,male,36.0,0,0,76.22,S,1,1,1,Adult,Medium,Middle,0,76.22,Single
252,2,male,23.0,3,0,62.22,S,4,0,1,Young Adult,Medium,Middle,0,15.555,Small Family
253,3,male,23.0,0,0,19.4,Q,1,1,0,Young Adult,Low,Lower,0,19.4,Single
254,2,female,10.0,1,0,119.27,S,2,0,1,Child,High,Middle,1,59.635,Small Family
255,1,male,42.0,0,1,243.31125,S,2,0,1,Adult,Very High,Upper,0,121.655625,Small Family
256,3,male,25.0,2,0,48.41,S,3,0,0,Young Adult,Medium,Lower,0,16.136666666666667,Small Family
257,3,female,32.0,0,0,29.74,S,1,1,0,Young Adult,Medium,Lower,0,29.74,Single
258,3,male,17.0,0,0,10.67,S,1,1,0,Teen,Low,Lower,0,10.67,Single
259,3,male,36.0,0,1,23.3,S,2,0,0,Adult,Low,Lower,0,11.65,Small Family
260,1,male,20.0,1,1,243.31125,S,3,0,1,Young Adult,Very High,Upper,0,81.10375,Small Family
261,3,female,28.0,0,0,48.0,S,1,1,0,Young Adult,Medium,Lower,0,48.0,Single
262,3,male,41.0,0,2,43.53,S,3,0,1,Adult,Medium,Lower,0,14.51,Small Family
263,1,male,40.0,0,1,172.81,S,2,0,1,Adult,Very High,Upper,0,86.405,Small Family
264,3,female,30.0,1,1,39.18,S,3,0,1,Young Adult,Medium,Lower,0,13.06,Small Family
265,3,male,7.0,0,1,53.08,S,2,0,0,Child,Medium,Lower,1,26.54,Small Family
266,3,male,62.375,0,0,43.36,C,1,1,0,Senior,Medium,Lower,0,43.36,Single
267,3,female,53.0,0,0,33.11,S,1,1,0,Adult,Medium,Lower,0,33.11,Single
268,3,male,39.0,0,0,22.15,S,1,1,0,Adult,Low,Lower,0,22.15,Single
269,2,male,20.0,2,0,104.76,S,3,0,1,Young Adult,High,Middle,0,34.92,Small Family
270,2,female,29.0,0,0,51.35,C,1,1,1,Young Adult,Medium,Middle,0,51.35,Single
271,3,female,23.0,0,2,52.05,C,3,0,1,Young Adult,Medium,Lower,0,17.349999999999998,Small Family
272,3,female,46.0,2,0,48.06,S,3,0,1,Adult,Medium,Lower,0,16.02,Small Family
273,3,female,33.0,1,2,49.89,S,4,0,1,Young Adult,Medium,Lower,0,12.4725,Small Family
274,3,male,20.0,0,0,59.44,S,1,1,0,Young Adult,Medium,Lower,0,59.44,Single
275,3,male,24.0,2,0,46.18,S,3,0,0,Young Adult,Medium,Lower,0,15.393333333333333,Small Family
276,3,female,45.0,0,0,6.87,C,1,1,1,Adult,Low,Lower,0,6.87,Single
277,3,female,51.0,0,0,16.3,S,1,1,0,Adult,Low,Lower,0,16.3,Single
278,3,female,50.0,4,3,6.94,S,8,0,1,Adult,Low,Lower,0,0.8675,Large Family
279,3,male,40.0,3,1,15.45,S,5,0,0,Adult,Low,Lower,0,3.09,Large Family
280,3,female,27.0,0,0,8.38,S,1,1,1,Young Adult,Low,Lower,0,8.38,Single
